Ascomycota,is_type,Phylum
Asparagales,belongs_to,Liliopsida
Asparagales,is_type,Order
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,belongs_to,Asterales
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asteraceae,is_type,Family
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
Asterales,belongs_to,Magnoliopsida
